Category,Diagnosis,Symptoms
Neurological,Migraine,"Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Inability to bear weight, Nausea, Swelling, Tenderness to touch, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Nausea, Stomach cramps, Vomiting"
Urological,Kidney Stone,"Body aches, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Itchy, watery eyes, Loss of appetite, Nasal congestion, Nausea, Runny nose, Sneezing"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Strep Throat,"Fatigue, Fever, Loss of appetite, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Neurological,Migraine,"Dizziness, Loss of appetite, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Urological,Kidney Stone,"Chills, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Fatigue, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Fever, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Urological,Kidney Stone,"Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Dry cough, Headache, High fever, Runny nose, Sore throat"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Headache, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Fever, Headache, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Fever, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Urological,Kidney Stone,"Fever, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Dizziness, Frequent urination, Pain or burning on urination, Pelvic pain"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Swelling, Tenderness to touch"
Neurological,Migraine,"Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Urological,Kidney Stone,"Body aches, Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Urological,Kidney Stone,"Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Urological,Kidney Stone,"Fever, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fatigue, Fever"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath"
Neurological,Migraine,"Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Frequent urination, Loss of appetite, Nausea, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Dizziness, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Dizziness, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Infectious,Strep Throat,"Chills, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain, Weakness"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Headache, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Fever, Itchy, watery eyes, Loss of appetite, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fever, Headache, Nausea, Stomach cramps, Vomiting"
Urological,Kidney Stone,"Chills, Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Hypertension,"Dizziness, Fatigue, Headache, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Neurological,Migraine,"Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Urological,Kidney Stone,"Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Urological,Kidney Stone,"Body aches, Dizziness, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Body aches, Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath, Weakness"
Infectious,COVID-19,"Chills, Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Shortness of breath, Weakness, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Chronic,Hypertension,"Dizziness, Fever, Headache, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Nausea, Swelling, Tenderness to touch, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Inability to bear weight, Malaise, Nausea, Swelling, Tenderness to touch"
Infectious,Strep Throat,"Body aches, Dizziness, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Fatigue, Headache, Shortness of breath, Wheezing"
Infectious,Strep Throat,"Fatigue, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Chills, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Headache, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Malaise, Slow-healing sores, Unexplained weight loss"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Malaise, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Malaise, Shortness of breath"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of appetite, Loss of taste or smell, Shortness of breath, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Chills, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Neurological,Migraine,"Headache, Loss of appetite, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing, Weakness"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Neurological,Migraine,"Body aches, Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Strep Throat,"Fever, Headache, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Nausea, Stomach cramps, Vomiting, Weakness"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Fever, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Urological,Kidney Stone,"Body aches, Headache, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Chills, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Nausea, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Fatigue, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Neurological,Migraine,"Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Malaise, Nausea"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Nausea"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Loss of appetite, Malaise, Runny nose, Sore throat"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Malaise, Shortness of breath"
Urological,Kidney Stone,"Body aches, Dizziness, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Malaise, Nausea, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Malaise, Swollen joints"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat"
Infectious,Strep Throat,"Fever, Headache, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Neurological,Migraine,"Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Fever, Frequent urination, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise, Nausea"
Neurological,Migraine,"Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Fatigue, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Body aches, Fever, Headache, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Loss of appetite, Malaise, Slow-healing sores, Unexplained weight loss"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Urological,Kidney Stone,"Chills, Dizziness, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Neurological,Migraine,"Body aches, Chills, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Urological,Kidney Stone,"Fatigue, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Headache, Nausea, Stomach cramps, Vomiting"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat, Weakness"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Fever, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Malaise, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Chills, Fatigue, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Malaise, Swelling, Tenderness to touch, Weakness"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, Headache, High fever, Runny nose, Sore throat"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Loss of appetite, Runny nose, Sore throat"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Nausea, Weakness"
Infectious,Strep Throat,"Body aches, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Runny nose, Sore throat"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Inability to bear weight, Loss of appetite, Malaise, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Malaise, Nausea, Swelling, Tenderness to touch"
Chronic,Hypertension,"Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Infectious,Strep Throat,"Fatigue, Fever, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat, Weakness"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Malaise, Nausea, Swollen joints"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Neurological,Migraine,"Chills, Dizziness, Headache, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Urological,Kidney Stone,"Fatigue, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Urological,Kidney Stone,"Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Neurological,Migraine,"Body aches, Chills, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Asthma,"Body aches, Chest tightness, Chills, Coughing (especially at night), Shortness of breath, Weakness, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Chills, Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Strep Throat,"Body aches, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Nausea, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fatigue, Fever"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Fatigue, Inability to bear weight, Swelling, Tenderness to touch"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Shortness of breath, Weakness, Wheezing"
Chronic,Hypertension,"Dizziness, Headaches, Loss of appetite, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Fatigue, Headache, Shortness of breath, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Malaise, Slow-healing sores, Unexplained weight loss"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Neurological,Migraine,"Body aches, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Strep Throat,"Chills, Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Fever, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Urological,Kidney Stone,"Chills, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Loss of appetite, Nausea, Shortness of breath, Wheezing"
