BodyPart,SpecificBone,Diagnosis,Symptoms
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Inability to move the affected part, Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Worsening pain when standing"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to lift arm, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Dizziness or feeling faint, Inability to move the affected part, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Warmth at the injury site"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Warmth at the injury site, Worsening pain when standing"
Arm,Radius/Ulna (Forearm),Radius/Ulna Fracture,"Bent appearance of forearm, Bruising or discoloration, Inability to move the affected part, Inability to turn arm (palm up/down), Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Wrist,Radius (Wrist),Distal Radius Fracture (Colles'),"""Dinner fork"" deformity of wrist, Bruising or discoloration, Numbness or tingling, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Wrist pain"
Arm,Radius/Ulna (Forearm),Radius/Ulna Fracture,"Bent appearance of forearm, Bruising or discoloration, Inability to turn arm (palm up/down), Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Dizziness or feeling faint, Inability to move the affected part, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Inability to move the affected part, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity, Warmth at the injury site"
Wrist,Radius (Wrist),Distal Radius Fracture (Colles'),"""Dinner fork"" deformity of wrist, Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Warmth at the injury site, Wrist pain"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Worsening pain when standing"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible bone (open fracture)"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Numbness or tingling, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to move the affected part, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Worsening pain when standing"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Numbness or tingling, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Grating sensation (crepitus), Inability to lift arm, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Arm,Radius/Ulna (Forearm),Radius/Ulna Fracture,"Bent appearance of forearm, Bruising or discoloration, Grating sensation (crepitus), Inability to turn arm (palm up/down), Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to get up from a fall, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Dizziness or feeling faint, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Dizziness or feeling faint, Numbness or tingling, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Grating sensation (crepitus), Numbness or tingling, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible deformity, Warmth at the injury site"
Wrist,Radius (Wrist),Distal Radius Fracture (Colles'),"""Dinner fork"" deformity of wrist, Bruising or discoloration, Grating sensation (crepitus), Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Wrist pain"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Inability to move upper arm, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to lift arm, Inability to move the affected part, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Warmth at the injury site"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Inability to get up from a fall, Numbness or tingling, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Arm,Radius/Ulna (Forearm),Radius/Ulna Fracture,"Bent appearance of forearm, Bruising or discoloration, Inability to turn arm (palm up/down), Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Dizziness or feeling faint, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Warmth at the injury site"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to move the affected part, Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Inability to move the affected part, Numbness or tingling, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Grating sensation (crepitus), Inability to lift arm, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Worsening pain when standing"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Inability to get up from a fall, Inability to move the affected part, Numbness or tingling, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Numbness or tingling, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Warmth at the injury site"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Inability to move the affected part, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Worsening pain when standing"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Dizziness or feeling faint, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity, Warmth at the injury site"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Inability to stand or bear weight, Numbness or tingling, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Dizziness or feeling faint, Inability to get up from a fall, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Dizziness or feeling faint, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity, Warmth at the injury site"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Inability to move the affected part, Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Worsening pain when standing"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to get up from a fall, Numbness or tingling, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to move the affected part, Inability to move upper arm, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Warmth at the injury site"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Inability to move the affected part, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Inability to walk, Numbness or tingling, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to move upper arm, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Inability to move upper arm, Numbness or tingling, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity, Warmth at the injury site"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Dizziness or feeling faint, Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Inability to get up from a fall, Inability to move the affected part, Numbness or tingling, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Worsening pain when standing"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Grating sensation (crepitus), Inability to move upper arm, Numbness or tingling, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Inability to move the affected part, Inability to move upper arm, Numbness or tingling, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Inability to move the affected part, Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Dizziness or feeling faint, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Inability to move upper arm, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to move upper arm, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Leg,Tibia/Fibula (Lower Leg),Tibial/Fibular Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to bear weight, Obvious deformity in lower leg, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Inability to move upper arm, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Leg,Tibia/Fibula (Lower Leg),Tibial/Fibular Fracture,"Bruising or discoloration, Inability to bear weight, Obvious deformity in lower leg, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Inability to stand or bear weight, Numbness or tingling, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to lift arm, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Inability to get up from a fall, Inability to move the affected part, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site, Worsening pain when standing"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible deformity, Warmth at the injury site"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Inability to walk, Numbness or tingling, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Warmth at the injury site"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to move upper arm, Numbness or tingling, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Grating sensation (crepitus), Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site"
Wrist,Radius (Wrist),Distal Radius Fracture (Colles'),"""Dinner fork"" deformity of wrist, Bruising or discoloration, Dizziness or feeling faint, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Wrist pain"
Wrist,Radius (Wrist),Distal Radius Fracture (Colles'),"""Dinner fork"" deformity of wrist, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Numbness or tingling, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Wrist pain"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to get up from a fall, Numbness or tingling, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Arm,Radius/Ulna (Forearm),Radius/Ulna Fracture,"Bent appearance of forearm, Bruising or discoloration, Dizziness or feeling faint, Inability to turn arm (palm up/down), Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Arm,Radius/Ulna (Forearm),Radius/Ulna Fracture,"Bent appearance of forearm, Bruising or discoloration, Dizziness or feeling faint, Inability to turn arm (palm up/down), Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to move the affected part, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Inability to get up from a fall, Inability to move the affected part, Numbness or tingling, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Inability to move the affected part, Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Worsening pain when standing"
Leg,Tibia/Fibula (Lower Leg),Tibial/Fibular Fracture,"Bruising or discoloration, Inability to bear weight, Inability to move the affected part, Numbness or tingling, Obvious deformity in lower leg, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Warmth at the injury site"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to lift arm, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Inability to move the affected part, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to move the affected part, Inability to move upper arm, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Leg,Femur (Thigh),Femur Fracture,"Affected leg appears shorter, Bruising or discoloration, Grating sensation (crepitus), Inability to stand or bear weight, Severe thigh pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Arm,Radius/Ulna (Forearm),Radius/Ulna Fracture,"Bent appearance of forearm, Bruising or discoloration, Inability to turn arm (palm up/down), Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Grating sensation (crepitus), Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Grating sensation (crepitus), Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Numbness or tingling, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible deformity, Warmth at the injury site"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Worsening pain when standing"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Inability to walk, Numbness or tingling, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity, Warmth at the injury site"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to get up from a fall, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Inability to get up from a fall, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible deformity"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Inability to move the affected part, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site, Worsening pain when standing"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Inability to move the affected part, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Worsening pain when standing"
Wrist,Radius (Wrist),Distal Radius Fracture (Colles'),"""Dinner fork"" deformity of wrist, Bruising or discoloration, Numbness or tingling, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity, Warmth at the injury site, Wrist pain"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Dizziness or feeling faint, Numbness or tingling, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to move the affected part, Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Worsening pain when standing"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Inability to move the affected part, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Arm,Humerus (Upper Arm),Humerus Fracture,"Bruising or discoloration, Inability to move upper arm, Numbness or tingling, Severe arm pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Ankle,Tibia/Fibula/Talus,Ankle Fracture,"Ankle twisted to the side, Bruising or discoloration, Inability to walk, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Foot,Metatarsal,Metatarsal Fracture (Foot),"Bruising or discoloration, Numbness or tingling, Pain when walking, Sudden, severe pain, Swelling at the injury site, Swelling on top of foot, Tenderness to touch, Visible deformity, Warmth at the injury site"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to lift arm, Inability to move the affected part, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Inability to lift arm, Inability to move the affected part, Numbness or tingling, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Grating sensation (crepitus), Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity, Warmth at the injury site, Worsening pain when standing"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Dizziness or feeling faint, Inability to get up from a fall, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Dizziness or feeling faint, Inability to move the affected part, Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site, Worsening pain when standing"
